model_name,RMSE,MAE,R2,Model
Persistence,34.127003415734066,34.09042207508683,-228.74940751121497,
XGBoost,0.2912992704615164,0.1832525956967778,0.983260715828019,
RandomForest,0.2954296779910012,0.1894935580153655,0.9827826491120496,
,33.7126,33.6379,-225.1741,1D-CNN
